ID_Trans,ID1,ID2,ID3,ID_cross,ID_OTU,Cultivar,Habitat,Timepiont,Treatment1,plot
SRR8742926_quant,SRR8742926,SRX5534998,A0706165L01,RTX430_Leaf_TP05_Control_1,TP5L1,RTX430,Leaf,TP05,Control,1
SRR8742928_quant,SRR8742928,SRX5535000,A0706165L20,RTX430_Leaf_TP05_Control_20,TP5L20,RTX430,Leaf,TP05,Control,20
SRR8742964_quant,SRR8742964,SRX5535036,A0706165L06,BTX642_Leaf_TP05_Pre_flowering_drought_6,TP5L6,BTX642,Leaf,TP05,Pre_flowering_drought,6
SRR8742965_quant,SRR8742965,SRX5535037,A0706165L14,BTX642_Leaf_TP05_Pre_flowering_drought_14,TP5L14,BTX642,Leaf,TP05,Pre_flowering_drought,14
SRR8742966_quant,SRR8742966,SRX5535038,A0706165L17,BTX642_Leaf_TP05_Pre_flowering_drought_17,TP5L17,BTX642,Leaf,TP05,Pre_flowering_drought,17
SRR8743026_quant,SRR8743026,SRX5535098,A0706165L11,BTX642_Leaf_TP05_Control_11,TP5L11,BTX642,Leaf,TP05,Control,11
SRR8743027_quant,SRR8743027,SRX5535099,A0706165L02,BTX642_Leaf_TP05_Control_2,TP5L2,BTX642,Leaf,TP05,Control,2
SRR8743028_quant,SRR8743028,SRX5535100,A0706165L19,BTX642_Leaf_TP05_Control_19,TP5L19,BTX642,Leaf,TP05,Control,19
SRR8743064_unmaped__quant,SRR8743064,SRX5535136,A0706165R13,RTX430_Root_TP05_Pre_flowering_drought_13,TP5R13,RTX430,Root,TP05,Pre_flowering_drought,13
SRR8743065_unmaped__quant,SRR8743065,SRX5535137,A0706165R18,RTX430_Root_TP05_Pre_flowering_drought_18,TP5R18,RTX430,Root,TP05,Pre_flowering_drought,18
SRR8743066_unmaped__quant,SRR8743066,SRX5535138,A0706165R05,RTX430_Root_TP05_Pre_flowering_drought_5,TP5R5,RTX430,Root,TP05,Pre_flowering_drought,5
SRR8743126_unmaped__quant,SRR8743126,SRX5535198,A0706165R01,RTX430_Root_TP05_Control_1,TP5R1,RTX430,Root,TP05,Control,1
SRR8743128_unmaped__quant,SRR8743128,SRX5535200,A0706165R12,RTX430_Root_TP05_Control_12,TP5R12,RTX430,Root,TP05,Control,12
SRR8743164_unmaped__quant,SRR8743164,SRX5535236,A0706165R06,BTX642_Root_TP05_Pre_flowering_drought_6,TP5R6,BTX642,Root,TP05,Pre_flowering_drought,6
SRR8743165_unmaped__quant,SRR8743165,SRX5535237,A0706165R14,BTX642_Root_TP05_Pre_flowering_drought_14,TP5R14,BTX642,Root,TP05,Pre_flowering_drought,14
SRR8743166_unmaped__quant,SRR8743166,SRX5535238,A0706165R17,BTX642_Root_TP05_Pre_flowering_drought_17,TP5R17,BTX642,Root,TP05,Pre_flowering_drought,17
SRR8743225_unmaped__quant,SRR8743225,SRX5535297,A0706165R11,BTX642_Root_TP05_Control_11,TP5R11,BTX642,Root,TP05,Control,11
SRR8743226_unmaped__quant,SRR8743226,SRX5535298,A0706165R02,BTX642_Root_TP05_Control_2,TP5R2,BTX642,Root,TP05,Control,2
SRR8743227_unmaped__quant,SRR8743227,SRX5535299,A0706165R19,BTX642_Root_TP05_Control_19,TP5R19,BTX642,Root,TP05,Control,19
SRR8742927_quant,SRR8742927,SRX5534999,A0706165L12,RTX430_Leaf_TP05_Control_12,TP5L12,RTX430,Leaf,TP05,Control,12
SRR8743127_quant,SRR8743127,SRX5535199,A0706165R20,RTX430_Root_TP05_Control_20,TP5R20,RTX430,Root,TP05,Control,20
