ID,observed_KO,Shannon_KO,Simpson_KO
TP13L17,41595,11.3122,0.9912
TP13L18,51182,11.5553,0.9906
TP13L19,73361,13.3422,0.9982
TP13L2,78431,14.0235,0.9993
TP13L20,74451,13.1814,0.9973
TP13L21,74226,13.8397,0.9993
TP13L22,74156,13.6316,0.9992
TP13L3,80191,13.8087,0.9996
TP13L4,67362,13.8159,0.999
TP13L5,53743,13.088,0.9988
TP13L6,41725,12.8941,0.998
TP13R1,75685,13.3323,0.9966
TP13R11,75073,13.8352,0.9991
TP13R12,85454,13.7722,0.9984
TP13R13,65896,12.7441,0.9961
TP13R14,81689,13.9081,0.999
TP13R15,85997,13.8879,0.9997
TP13R16,99833,13.5613,0.9995
TP13R17,80866,14.2143,0.9995
TP13R18,54541,12.5988,0.9955
TP13R19,76655,13.9219,0.9991
TP13R2,65811,13.6241,0.9985
TP13R20,82338,13.463,0.9979
TP13R21,77465,13.9506,0.9995
TP13R22,89439,14.0142,0.9997
TP13R3,64669,13.3096,0.9975
TP13R4,51940,13.7082,0.9991
TP13R5,69081,12.7268,0.9962
TP13R6,83473,13.5199,0.9987
TP14L11,85024,14.2737,0.9997
TP14L12,87411,14.3371,0.9998
TP14L21,78533,14.0601,0.9995
TP14L22,87940,14.1718,0.9997
TP14L5,60256,13.3768,0.9989
TP14L6,44657,13.041,0.9983
TP14R11,78063,13.789,0.9984
TP14R12,83317,13.5879,0.998
TP14R21,76998,13.692,0.9986
TP14R22,92580,14.0804,0.9996
TP14R5,68494,12.5416,0.9958
TP14R6,77676,13.9927,0.9989
TP15L11,85948,13.5613,0.9981
TP15L12,82501,14.0603,0.9997
TP15L14,65389,7.1512,0.6935
TP15L15,80337,14.0608,0.9996
TP15L16,80638,13.5577,0.9992
TP15L17,52328,13.0894,0.9979
TP15L19,79586,13.8481,0.9992
TP15L2,93064,14.14,0.9998
TP15L20,77364,13.6903,0.9993
TP15L21,83583,14.2351,0.9996
TP15L22,90191,14.3509,0.9998
TP15L3,85127,13.6071,0.9992
TP15L4,79166,14.1545,0.9994
TP15L5,66333,13.8047,0.9994
TP15L6,79585,12.7255,0.9953
TP15R1,86880,13.2795,0.9966
TP15R11,84959,13.7088,0.9986
TP15R12,91721,13.6981,0.997
TP15R13,87019,12.7858,0.9908
TP15R14,112431,14.7306,0.9996
TP15R15,103495,13.1527,0.9993
TP15R16,87291,13.5569,0.9986
TP15R17,88663,14.1909,0.9991
TP15R19,66021,13.6667,0.9986
TP15R20,79273,13.4745,0.9984
TP15R22,96715,13.6894,0.9995
TP15R3,110362,13.7,0.9994
TP15R4,84295,14.1006,0.9995
TP15R5,96180,13.5972,0.9975
TP16L12,86001,13.6027,0.999
TP16L21,86227,14.2316,0.9997
TP16L5,71560,13.2104,0.9981
TP16L6,49636,13.5691,0.9994
TP16R12,96617,14.0525,0.9989
TP16R21,68118,12.9198,0.9973
TP16R22,90329,13.1761,0.9989
TP16R5,87592,13.3523,0.9972
TP16R6,101635,13.8563,0.9977
TP17L1,89577,14.3487,0.9997
TP17L11,89989,14.3369,0.9997
TP17L12,94443,14.2795,0.9997
TP17L13,72856,13.5232,0.9988
TP17L14,78734,13.8867,0.9993
TP17L15,88250,13.9477,0.9996
