"","ID_OTU","Fungi_percent","ID.x","size_content","ID.y","GC_content","ID1","ID2","ID3","ID_cross","Cultivar","Habitat","Timepiont","Treatment1","plot"
"63","TP4L12",2.333448994,"TP4L12",2467.15357829689,"SRR8742923_quant",46.6887792229884,"SRR8742923","SRX5534995","A0629164L12","RTX430_Leaf_TP04_Control_12","RTX430","Leaf",4,"Control",12
"64","TP4L20",13.84947905,"TP4L20",2454.86483156928,"SRR8742924_quant",46.9093403081973,"SRR8742924","SRX5534996","A0629164L20","RTX430_Leaf_TP04_Control_20","RTX430","Leaf",4,"Control",20
"65","TP4L1",4.522554867,"TP4L1",2520.4496045114,"SRR8742925_quant",45.7534336207056,"SRR8742925","SRX5534997","A0629164L01","RTX430_Leaf_TP04_Control_1","RTX430","Leaf",4,"Control",1
"66","TP5L1",3.690223435,"TP5L1",2562.10521435634,"SRR8742926_quant",46.1294613685841,"SRR8742926","SRX5534998","A0706165L01","RTX430_Leaf_TP05_Control_1","RTX430","Leaf",5,"Control",1
"67","TP5L12",10.02666159,"TP5L12",2313.94986032202,"SRR8742927_quant",46.5873018629932,"SRR8742927","SRX5534999","A0706165L12","RTX430_Leaf_TP05_Control_12","RTX430","Leaf",5,"Control",12
"68","TP5L20",16.88259109,"TP5L20",2666.05754596724,"SRR8742928_quant",45.9138194912813,"SRR8742928","SRX5535000","A0706165L20","RTX430_Leaf_TP05_Control_20","RTX430","Leaf",5,"Control",20
"69","TP6L12",13.30830474,"TP6L12",2487.29615987584,"SRR8742929_quant",46.4619902393804,"SRR8742929","SRX5535001","A0713166L12","RTX430_Leaf_TP06_Control_12","RTX430","Leaf",6,"Control",12
"70","TP6L20",15.39692172,"TP6L20",2343.28440607243,"SRR8742930_quant",46.9397054761647,"SRR8742930","SRX5535002","A0713166L20","RTX430_Leaf_TP06_Control_20","RTX430","Leaf",6,"Control",20
"71","TP6L1",7.717756906,"TP6L1",2593.62837306599,"SRR8742931_quant",46.1327569865879,"SRR8742931","SRX5535003","A0713166L01","RTX430_Leaf_TP06_Control_1","RTX430","Leaf",6,"Control",1
"72","TP7L12",18.10344828,"TP7L12",2388.88340453057,"SRR8742932_quant",44.9761792945681,"SRR8742932","SRX5535004","A0720167L12","RTX430_Leaf_TP07_Control_12","RTX430","Leaf",7,"Control",12
"73","TP8L20",30.76238835,"TP8L20",2528.39973122011,"SRR8742933_quant",47.5589076256347,"SRR8742933","SRX5535005","A0727168L20","RTX430_Leaf_TP08_Control_20","RTX430","Leaf",8,"Control",20
"74","TP8L12",22.46940148,"TP8L12",2480.89616671296,"SRR8742934_quant",47.3122950800146,"SRR8742934","SRX5535006","A0727168L12","RTX430_Leaf_TP08_Control_12","RTX430","Leaf",8,"Control",12
"75","TP8L1",20.61092908,"TP8L1",2524.93880132198,"SRR8742935_quant",46.8430321322183,"SRR8742935","SRX5535007","A0727168L01","RTX430_Leaf_TP08_Control_1","RTX430","Leaf",8,"Control",1
"76","TP9L12",63.64998777,"TP9L12",1994.07682609197,"SRR8742936_quant",48.3884303928402,"SRR8742936","SRX5535008","A0803169L12","RTX430_Leaf_TP09_Control_12","RTX430","Leaf",9,"Control",12
